HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Flamengo;Fluminense;11.11.2023 18:30;1;1;0.93;1.44;43%;57%;10;14;5;4;2;6;3;4;16;10;5;2;3;2;13;17;3;4;13;17;1;1;1;4;414;554;337;499;89;88;55;30
Coritiba;Cruzeiro;11.11.2023 16:00;1;0;0.25;0.47;50%;50%;5;12;2;4;2;8;1;0;17;15;1;5;2;1;22;27;4;1;15;18;-;-;4;4;332;448;256;358;78;94;41;53
Bahia;Cuiabá;09.11.2023 20:00;0;3;0.83;1.80;58%;42%;12;10;4;7;4;2;4;1;25;9;7;4;0;3;23;16;4;4;9;23;1;0;1;3;582;336;489;279;120;87;52;29
Botafogo;Grêmio;09.11.2023 20:00;3;4;1.25;1.90;49%;51%;12;14;5;7;5;4;2;3;11;6;2;6;0;0;12;24;3;2;8;17;-;-;0;2;409;397;335;306;106;98;28;35
Corinthians;Atlético-MG;09.11.2023 19:00;1;1;1.39;0.96;39%;61%;13;14;9;4;3;8;1;2;19;11;5;6;3;0;14;17;3;8;8;19;-;-;1;4;345;562;273;483;111;146;34;39
Goiás;Santos;09.11.2023 19:00;0;1;0.92;1.27;51%;49%;10;16;3;5;5;9;2;2;12;17;5;6;2;0;28;19;4;3;19;13;-;-;2;1;461;330;378;257;122;91;47;58
Flamengo;Palmeiras;08.11.2023 21:30;3;0;1.23;0.85;51%;49%;12;10;6;2;4;4;2;4;20;12;4;5;0;3;9;14;2;3;13;17;0;1;1;1;517;490;470;441;103;95;43;35
Athletico-PR;Fortaleza;08.11.2023 20:00;1;1;1.10;0.63;56%;44%;17;13;3;3;10;7;4;3;12;23;14;2;3;1;28;22;2;2;20;12;-;-;1;0;373;275;287;206;107;93;49;29
São Paulo;Red Bull Bragantino;08.11.2023 20:00;1;0;2.07;0.55;57%;43%;13;11;5;4;4;4;4;3;26;9;9;5;0;2;17;13;4;4;10;23;-;-;2;2;488;343;410;261;106;125;31;55
América-MG;Coritiba;08.11.2023 19:00;0;3;0.41;0.94;53%;47%;11;9;4;5;6;2;1;2;8;9;8;4;0;1;23;11;2;4;16;13;-;-;0;1;560;384;487;315;138;83;70;28
Internacional;Fluminense;08.11.2023 19:00;0;0;0.92;0.44;43%;57%;18;8;4;4;10;4;4;0;16;17;5;3;4;0;19;17;4;4;13;16;-;-;2;2;399;592;327;539;87;103;60;27
Santos;Cuiabá;06.11.2023 21:00;0;0;0.08;0.40;56%;44%;6;5;3;0;2;5;1;0;6;11;4;4;0;1;32;30;0;3;13;7;-;-;1;2;541;342;427;257;128;86;62;39
Vasco;Botafogo;06.11.2023 19:00;1;0;0.38;0.38;45%;55%;7;12;3;1;2;4;2;7;17;23;4;4;2;2;26;17;1;2;23;13;-;-;2;4;345;486;259;399;94;133;39;46
