HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Athletico-PR;Palmeiras;02.07.2023 16:00;2;2;4.10;1.41;53%;47%;27;11;6;5;18;4;3;2;12;20;7;2;1;4;18;12;3;4;19;8;0;1;4;2;455;364;378;291;119;111;52;29
Atlético-MG;América-MG;02.07.2023 16:00;2;2;1.16;3.24;49%;51%;12;22;5;6;2;11;5;5;23;16;4;7;1;3;13;16;4;3;16;19;1;0;3;2;364;441;288;357;75;130;29;54
Botafogo;Vasco;02.07.2023 16:00;2;0;1.46;0.85;56%;44%;16;10;6;4;5;5;5;1;13;10;4;8;0;1;19;21;4;4;10;14;-;-;2;5;484;351;407;274;129;85;60;39
Corinthians;Red Bull Bragantino;02.07.2023 11:00;0;1;0.52;0.88;42%;58%;12;10;4;5;4;5;4;0;18;20;4;2;5;1;33;21;4;4;15;17;-;-;3;2;405;552;304;447;99;153;35;57
Internacional;Cruzeiro;01.07.2023 21:00;0;0;1.72;0.65;50%;50%;14;9;3;3;9;6;2;0;14;13;2;4;1;1;20;19;3;3;12;15;0;1;6;4;540;461;464;392;108;109;72;39
Bahia;Grêmio;01.07.2023 18:30;1;2;1.30;2.21;50%;50%;17;12;5;6;10;5;2;1;17;20;7;2;0;6;16;25;4;4;21;11;-;-;3;2;425;470;340;390;123;119;41;38
Flamengo;Fortaleza;01.07.2023 18:30;2;0;1.34;1.49;50%;50%;10;15;4;6;4;6;2;3;12;13;5;4;1;2;16;29;6;2;12;14;-;-;2;0;554;357;476;293;133;98;50;43
São Paulo;Fluminense;01.07.2023 16:00;1;0;0.87;0.12;50%;50%;20;4;4;2;10;1;6;1;8;17;13;2;2;1;20;24;2;3;16;7;0;1;2;2;496;423;427;355;128;91;63;18
Vasco;Cuiabá;26.06.2023 21:00;1;0;1.92;0.46;48%;52%;8;12;2;3;4;5;2;4;17;20;4;6;3;5;22;17;3;1;18;13;-;-;5;3;383;446;317;361;99;126;51;41
América-MG;Internacional;25.06.2023 18:30;1;2;1.32;1.15;41%;59%;12;7;4;2;4;2;4;3;7;23;3;2;0;1;15;16;0;3;25;6;-;-;2;1;338;539;247;453;93;121;71;43
Red Bull Bragantino;Goiás;25.06.2023 18:30;2;0;1.72;0.20;58%;42%;20;4;6;0;10;2;4;2;29;18;10;4;0;6;23;25;0;4;17;24;-;-;2;2;487;307;404;236;116;73;60;20
Santos;Flamengo;25.06.2023 18:30;2;3;1.64;0.95;38%;62%;12;10;5;4;5;3;2;3;12;15;2;7;1;1;10;24;2;3;14;11;-;-;2;1;346;722;291;635;75;175;20;89
Grêmio;Coritiba;25.06.2023 16:00;5;1;3.36;1.23;48%;52%;18;16;9;7;7;7;2;2;20;13;8;5;2;4;21;20;6;4;10;16;0;1;2;4;377;379;298;307;96;116;47;33
Palmeiras;Botafogo;25.06.2023 16:00;0;1;2.70;0.71;56%;44%;12;5;5;2;4;3;3;0;13;20;12;1;4;1;29;16;1;5;17;12;-;-;0;3;539;291;437;212;140;72;80;24
Cruzeiro;São Paulo;24.06.2023 21:00;1;0;0.96;0.94;36%;64%;6;13;0;7;5;3;1;3;23;15;6;5;1;8;15;21;7;0;14;15;-;-;1;3;271;651;195;579;78;129;52;68
Fluminense;Bahia;24.06.2023 18:30;2;1;2.57;1.13;51%;49%;17;13;10;3;7;9;0;1;9;12;9;10;2;0;19;17;2;8;9;11;1;0;1;0;457;479;384;398;120;97;43;53
Fortaleza;Atlético-MG;24.06.2023 18:30;2;1;0.72;1.02;43%;57%;10;17;3;4;2;11;5;2;11;10;3;8;1;1;13;15;3;1;10;12;0;1;1;1;412;597;350;525;103;117;27;35
Athletico-PR;Corinthians;24.06.2023 16:00;1;0;3.06;0.75;43%;57%;24;11;6;2;9;5;9;4;11;24;5;5;1;2;13;22;2;5;25;10;-;-;5;2;321;584;254;496;98;107;48;60
Red Bull Bragantino;Flamengo;22.06.2023 21:30;4;0;3.32;0.65;54%;46%;30;6;12;0;9;6;9;0;7;4;17;2;2;2;22;21;0;8;2;5;-;-;-;-;531;353;441;275;156;67;85;30
Coritiba;Internacional;22.06.2023 20:00;0;1;1.75;0.85;48%;52%;15;5;3;4;10;0;2;1;18;24;10;5;1;6;15;33;3;3;22;14;-;-;2;4;391;384;313;307;104;106;37;25
Cuiabá;Botafogo;22.06.2023 20:00;0;1;1.24;0.76;51%;49%;23;5;8;3;10;1;5;1;16;10;6;2;2;2;12;24;2;8;10;13;-;-;2;2;494;485;420;393;121;115;60;37
Vasco;Goiás;22.06.2023 20:00;0;1;2.07;0.39;58%;42%;18;7;5;1;7;4;6;2;22;22;8;2;4;3;22;14;0;5;19;24;-;-;2;3;581;352;500;285;163;85;75;32
Grêmio;América-MG;22.06.2023 19:00;3;1;1.98;0.70;63%;37%;20;8;9;2;10;3;1;3;15;12;10;2;2;1;24;18;1;6;10;11;0;1;0;3;652;282;548;197;170;77;110;28
Bahia;Palmeiras;21.06.2023 21:30;1;0;0.75;0.93;47%;53%;6;9;3;1;2;7;1;1;22;22;6;8;6;7;18;17;1;2;18;16;-;-;4;3;399;448;319;363;110;116;56;37
Fluminense;Atlético-MG;21.06.2023 21:30;1;1;0.51;1.26;49%;51%;10;14;4;6;4;5;2;3;20;24;3;5;5;0;13;23;5;3;20;19;-;-;2;4;418;426;357;346;93;88;26;42
Santos;Corinthians;21.06.2023 20:00;0;2;1.06;1.26;50%;50%;12;10;4;4;5;5;3;1;15;17;5;2;0;1;21;18;2;4;17;14;-;-;2;4;426;439;360;366;120;75;51;26
Cruzeiro;Fortaleza;21.06.2023 19:00;0;1;1.35;1.84;68%;32%;12;10;3;2;5;4;4;4;20;8;5;2;1;7;25;17;1;3;9;12;-;-;4;4;559;269;470;177;172;76;54;29
São Paulo;Athletico-PR;21.06.2023 19:00;2;1;0.57;1.16;56%;44%;8;14;5;5;2;6;1;3;13;18;4;4;3;2;19;23;4;3;15;11;-;-;3;2;478;365;393;303;116;86;36;37
Flamengo;Grêmio;11.06.2023 18:30;3;0;1.28;1.90;57%;43%;15;22;4;8;9;10;2;4;17;20;3;7;1;1;17;20;8;1;20;17;-;-;0;3;471;441;400;362;126;106;45;72
Goiás;Fluminense;11.06.2023 18:30;2;2;2.62;1.07;43%;57%;22;10;9;3;10;4;3;3;22;19;6;7;5;1;19;19;1;7;15;22;-;-;3;3;347;488;274;420;86;95;47;49
Internacional;Vasco;11.06.2023 16:00;2;1;1.78;0.89;45%;55%;12;14;3;4;7;6;2;4;25;13;7;6;0;4;15;17;3;1;13;21;-;-;2;3;417;492;350;423;90;104;48;35
São Paulo;Palmeiras;11.06.2023 16:00;0;2;1.24;0.70;60%;40%;24;9;6;4;6;2;12;3;17;14;8;3;0;2;22;14;2;6;15;17;1;0;4;1;615;304;529;243;140;63;72;26
América-MG;Athletico-PR;11.06.2023 11:00;2;2;1.88;0.82;49%;51%;19;8;12;4;4;3;3;1;10;20;7;3;1;1;20;30;2;10;19;9;-;-;2;4;383;367;310;264;126;99;43;32
Botafogo;Fortaleza;10.06.2023 21:00;2;0;3.39;0.40;51%;49%;21;9;10;3;9;4;2;2;15;14;7;3;1;4;19;21;3;8;16;11;-;-;3;3;502;432;432;350;124;106;53;19
Atlético-MG;Red Bull Bragantino;10.06.2023 18:30;1;1;1.92;0.54;56%;44%;15;7;6;3;4;0;5;4;14;11;7;2;5;1;23;19;2;5;8;14;-;-;2;3;561;360;460;263;146;146;61;32
Bahia;Cruzeiro;10.06.2023 18:30;2;2;1.32;2.31;47%;53%;13;15;5;7;4;5;4;3;8;22;6;5;8;5;23;14;5;3;15;9;-;-;5;1;413;465;335;386;109;112;47;28
Corinthians;Cuiabá;10.06.2023 18:30;1;1;1.44;0.82;57%;43%;21;10;7;2;12;6;2;2;15;10;8;6;1;1;21;13;1;6;11;13;-;-;2;3;576;343;490;271;132;94;64;26
Coritiba;Santos;10.06.2023 16:00;0;0;1.23;0.68;46%;54%;16;7;6;3;7;2;3;2;20;19;8;3;4;3;29;25;3;6;15;18;0;1;3;2;369;397;288;325;119;94;56;27
Vasco;Flamengo;05.06.2023 20:00;1;4;1.70;0.73;41%;59%;13;10;5;5;7;4;1;1;17;14;4;0;2;0;19;16;1;4;13;17;-;-;2;0;414;556;337;489;123;97;51;29
Goiás;Cuiabá;04.06.2023 18:30;0;1;0.39;1.27;52%;48%;10;15;3;8;5;4;2;3;15;21;4;5;2;1;22;16;7;3;19;14;-;-;2;3;454;387;363;310;116;94;65;55
Palmeiras;Coritiba;04.06.2023 18:30;3;1;2.58;0.84;53%;47%;21;7;8;4;5;3;8;0;12;17;11;6;3;0;23;18;3;5;15;14;-;-;4;5;487;444;414;382;116;93;63;36
Fluminense;Red Bull Bragantino;04.06.2023 16:00;2;1;1.21;0.50;51%;49%;12;17;4;5;5;8;3;4;13;11;6;7;2;1;20;17;4;2;12;12;-;-;5;2;421;432;345;341;95;109;63;49
Grêmio;São Paulo;04.06.2023 16:00;2;1;2.12;1.21;41%;59%;20;14;6;3;7;8;7;3;13;10;7;8;3;2;13;19;2;4;8;12;-;-;2;1;375;569;300;472;90;131;48;54
Santos;Internacional;03.06.2023 21:00;1;1;1.60;0.81;55%;45%;18;8;5;3;10;3;3;2;13;17;5;5;0;0;22;7;2;4;19;12;-;-;2;4;514;394;432;315;160;95;60;34
América-MG;Corinthians;03.06.2023 18:30;2;0;1.33;1.21;38%;62%;13;6;6;2;3;2;4;2;14;16;2;3;1;0;16;30;2;4;15;13;-;-;1;0;286;683;203;587;109;144;41;46
Athletico-PR;Botafogo;03.06.2023 18:30;1;0;0.83;0.61;48%;52%;16;10;7;4;7;5;2;1;13;19;6;7;3;0;29;16;4;6;15;12;-;-;3;1;407;420;329;353;111;88;36;35
Cruzeiro;Atlético-MG;03.06.2023 18:30;0;1;1.98;0.64;56%;44%;18;7;6;3;9;3;3;1;27;22;12;4;3;5;19;20;2;6;19;21;-;-;6;5;463;265;374;188;131;64;64;22
Fortaleza;Bahia;03.06.2023 16:00;0;0;0.67;0.28;49%;51%;9;7;2;2;5;4;2;1;10;19;8;4;3;3;23;13;2;2;17;9;-;-;2;3;436;381;344;304;130;92;43;26
Botafogo;América-MG;28.05.2023 19:00;2;0;2.33;0.26;59%;41%;16;4;5;1;7;2;4;1;14;12;7;0;2;3;18;23;1;3;9;11;-;-;2;3;501;391;431;305;113;124;49;34
Atlético-MG;Palmeiras;28.05.2023 18:30;1;1;0.82;1.30;49%;51%;9;12;4;2;4;5;1;5;18;27;3;3;0;3;17;20;1;3;27;15;-;-;3;3;483;359;401;294;125;98;41;30
Red Bull Bragantino;Santos;28.05.2023 18:30;2;0;1.19;0.29;60%;40%;16;8;9;1;5;6;2;1;14;16;5;4;3;5;42;32;1;7;13;9;-;-;2;1;517;336;408;249;146;81;64;20
Corinthians;Fluminense;28.05.2023 16:00;2;0;1.22;1.10;30%;70%;13;22;4;7;8;10;1;5;8;18;7;6;2;3;11;21;7;2;18;6;-;-;4;2;319;707;249;643;58;155;31;71
Internacional;Bahia;28.05.2023 16:00;2;0;0.24;1.20;44%;56%;7;9;2;4;2;5;3;0;15;14;2;6;3;0;14;20;4;0;10;13;-;-;1;2;429;533;360;448;110;124;27;48
São Paulo;Goiás;27.05.2023 21:00;2;1;0.78;0.30;63%;37%;16;6;6;4;8;1;2;1;18;15;11;5;3;1;9;17;3;4;12;16;-;-;2;4;615;309;548;241;124;75;63;25
Cuiabá;Coritiba;27.05.2023 18:30;1;1;0.70;0.83;48%;52%;9;6;3;1;5;4;1;1;12;7;2;6;0;3;16;25;0;2;8;13;-;-;3;5;399;552;315;464;132;123;41;29
Flamengo;Cruzeiro;27.05.2023 18:30;1;1;2.08;1.09;66%;34%;13;17;2;6;8;9;3;2;15;10;2;1;5;3;23;18;5;1;13;17;-;-;4;5;611;402;544;334;144;92;73;40
Athletico-PR;Grêmio;27.05.2023 16:00;1;2;1.13;0.83;66%;34%;16;10;4;4;9;5;3;1;17;15;10;5;1;1;29;13;2;3;14;15;-;-;2;4;578;266;491;189;147;96;70;26
Fortaleza;Vasco;27.05.2023 16:00;2;0;1.63;0.56;57%;43%;13;11;6;1;5;2;2;8;18;11;8;5;3;3;14;19;1;4;11;15;-;-;3;1;391;404;317;335;104;99;50;39
Cruzeiro;Cuiabá;22.05.2023 20:00;0;1;1.33;1.18;59%;41%;15;15;8;2;7;9;0;4;15;21;6;2;5;2;28;24;1;8;15;14;-;-;1;3;491;245;403;179;152;100;69;31
Grêmio;Internacional;21.05.2023 18:30;3;1;1.21;1.55;36%;64%;13;21;6;4;5;11;2;6;15;15;3;7;1;1;25;20;3;3;14;15;1;0;2;1;219;535;142;460;83;131;48;53
Flamengo;Corinthians;21.05.2023 16:00;1;0;0.56;0.92;60%;40%;10;12;3;3;4;9;3;0;14;9;6;9;0;2;16;14;3;2;9;13;-;-;0;2;609;344;560;279;153;70;74;35
Santos;Palmeiras;20.05.2023 21:00;0;0;0.39;0.45;41%;59%;12;9;4;1;6;4;2;4;13;16;3;4;0;3;20;23;1;4;15;11;-;-;3;1;307;516;221;444;102;129;46;40
América-MG;Fortaleza;20.05.2023 18:30;2;1;0.50;1.04;32%;68%;8;14;2;6;4;4;2;4;8;15;1;2;0;1;16;20;5;0;15;7;-;-;4;2;235;673;166;586;66;122;46;105
Botafogo;Fluminense;20.05.2023 18:30;1;0;1.60;0.83;41%;59%;20;2;7;0;7;1;6;1;14;26;7;4;2;1;20;15;0;6;25;14;-;-;4;2;289;488;234;430;89;187;29;75
Coritiba;Atlético-MG;20.05.2023 18:30;1;2;1.00;1.55;36%;64%;9;17;4;7;5;5;0;5;16;20;5;7;1;0;19;18;5;3;19;16;1;1;5;8;256;513;199;439;89;129;37;56
Red Bull Bragantino;Athletico-PR;20.05.2023 18:30;2;0;1.64;1.04;57%;43%;13;16;4;5;7;8;2;3;15;22;6;5;2;3;17;23;5;2;17;10;-;-;2;3;404;260;334;196;104;72;46;40
São Paulo;Vasco;20.05.2023 18:30;4;2;2.17;0.93;51%;49%;14;17;7;6;5;7;2;4;16;10;3;9;0;1;24;24;4;3;9;16;-;-;0;4;439;406;378;330;88;115;35;59
Bahia;Goiás;20.05.2023 16:00;1;1;2.17;0.88;51%;49%;22;12;4;5;11;5;7;2;17;18;4;6;1;6;19;26;4;3;19;13;-;-;1;3;420;411;349;337;124;105;62;40
América-MG;Cruzeiro;14.05.2023 18:30;0;4;1.16;2.71;48%;52%;15;16;2;8;10;6;3;2;17;14;5;6;5;3;14;19;4;2;10;17;-;-;2;0;368;419;287;336;113;123;53;45
Athletico-PR;Coritiba;14.05.2023 18:30;3;2;2.93;0.30;63%;37%;24;7;7;3;15;3;2;1;13;12;4;1;1;1;29;23;1;4;10;12;-;-;3;3;603;290;507;203;179;90;66;30
Goiás;Botafogo;14.05.2023 18:30;2;1;2.01;1.42;48%;52%;5;15;4;2;1;10;0;3;20;23;4;7;2;2;21;25;1;2;22;17;-;-;6;3;342;419;274;327;85;103;48;63
Corinthians;São Paulo;14.05.2023 16:00;1;1;0.94;0.82;37%;63%;7;6;3;1;4;2;0;3;15;12;5;4;0;2;22;20;0;2;15;17;-;-;2;4;370;694;300;618;75;144;57;48
Grêmio;Fortaleza;14.05.2023 16:00;0;0;0.75;0.68;52%;48%;16;15;6;5;6;7;4;3;19;24;9;4;1;1;21;14;5;6;22;22;-;-;3;4;506;369;415;292;135;95;69;37
Vasco;Santos;14.05.2023 16:00;0;1;1.33;0.61;61%;39%;21;6;9;1;9;4;3;1;15;15;13;1;0;3;28;24;0;9;15;12;-;-;4;1;547;252;449;179;156;68;91;25
Atlético-MG;Internacional;13.05.2023 21:00;2;0;1.40;0.28;55%;45%;13;5;4;4;7;1;2;0;11;14;3;3;0;2;18;19;4;2;14;8;-;-;2;3;490;428;406;347;119;108;33;43
Fluminense;Cuiabá;13.05.2023 18:30;2;0;0.89;1.00;58%;42%;7;11;2;2;5;4;0;5;14;12;7;3;0;4;14;15;2;0;12;10;-;-;3;4;632;389;557;318;93;109;38;48
Palmeiras;Red Bull Bragantino;13.05.2023 18:30;1;1;1.41;1.27;56%;44%;21;8;6;3;9;4;6;1;20;15;15;6;3;2;15;20;2;5;12;18;-;-;1;4;438;340;359;265;113;98;72;30
Bahia;Flamengo;13.05.2023 16:00;2;3;0.95;2.44;51%;49%;21;14;7;5;13;7;1;2;18;15;10;4;0;5;18;8;2;5;14;13;2;0;8;5;434;376;369;331;103;86;65;40
Fortaleza;São Paulo;11.05.2023 20:00;0;0;0.96;0.69;42%;58%;12;11;3;1;7;5;2;5;18;12;4;10;3;1;16;17;1;3;10;17;1;1;2;5;387;515;313;438;97;107;41;37
Botafogo;Corinthians;11.05.2023 19:30;3;0;2.71;0.60;50%;50%;16;11;6;4;5;3;5;4;4;12;3;3;1;0;12;16;4;3;11;4;-;-;1;2;600;551;546;479;109;124;50;41
Coritiba;Vasco;11.05.2023 19:00;1;1;0.71;0.67;40%;60%;10;7;6;2;4;4;0;1;19;21;5;5;1;3;17;24;2;5;20;16;-;-;2;1;310;532;233;442;94;144;29;55
Cruzeiro;Fluminense;10.05.2023 21:30;0;2;2.20;1.40;49%;51%;27;10;7;6;15;3;5;1;13;14;16;3;1;3;18;19;4;7;14;9;0;1;1;5;453;472;376;415;114;54;90;31
Palmeiras;Grêmio;10.05.2023 21:30;4;1;4.78;0.08;61%;39%;25;3;10;2;12;1;3;0;11;8;7;4;2;0;24;13;1;6;10;12;-;-;2;4;596;411;524;341;107;79;45;23
Cuiabá;Atlético-MG;10.05.2023 20:00;0;4;0.30;2.32;45%;55%;7;9;1;7;5;1;1;1;17;10;6;1;0;1;14;12;3;1;11;17;-;-;1;2;481;543;389;484;83;72;35;19
Flamengo;Goiás;10.05.2023 20:00;2;0;2.45;0.66;57%;43%;20;14;6;6;11;6;3;2;9;23;8;7;1;1;15;18;6;4;22;8;-;-;0;1;576;451;513;374;90;72;66;20
Internacional;Athletico-PR;10.05.2023 19:00;0;2;1.09;1.55;47%;53%;11;14;2;5;7;4;2;5;13;13;4;3;2;2;30;17;3;2;11;10;-;-;2;4;432;537;363;446;82;104;48;53
Red Bull Bragantino;América-MG;10.05.2023 19:00;2;2;1.52;2.04;58%;42%;21;9;10;3;5;3;6;3;19;16;5;4;3;2;23;16;1;8;14;17;-;-;5;3;450;275;351;190;145;61;72;27
Santos;Bahia;10.05.2023 19:00;3;0;1.94;1.11;44%;56%;13;13;9;2;4;8;0;3;14;24;1;4;5;0;19;27;2;6;19;13;-;-;3;4;381;559;312;481;87;125;27;36
Corinthians;Fortaleza;08.05.2023 20:00;1;1;1.06;1.04;48%;52%;19;16;8;1;9;7;2;8;11;9;5;5;3;2;19;12;0;7;6;9;-;-;2;2;496;524;432;472;131;130;109;91
Botafogo;Atlético-MG;07.05.2023 18:30;2;0;2.23;0.46;39%;61%;20;10;7;1;9;6;4;3;11;14;5;9;0;4;16;25;1;5;13;8;-;-;1;3;348;525;278;441;77;102;45;38
Goiás;Palmeiras;07.05.2023 18:30;0;5;0.83;2.22;45%;55%;13;15;4;7;6;6;3;2;29;14;4;6;1;1;15;12;2;4;13;28;1;0;2;6;408;557;343;496;87;101;31;49
Grêmio;Red Bull Bragantino;07.05.2023 18:30;3;3;1.87;1.55;43%;57%;10;22;3;8;4;7;3;7;21;12;4;7;3;2;19;31;5;0;9;19;-;-;5;2;336;454;249;341;80;128;28;66
Athletico-PR;Flamengo;07.05.2023 16:00;2;1;1.16;1.26;40%;60%;11;14;5;4;4;3;2;7;10;17;2;8;2;0;19;16;3;3;15;12;-;-;2;2;347;543;277;449;67;124;43;67
Bahia;Coritiba;07.05.2023 16:00;3;1;0.99;0.34;51%;49%;13;11;5;5;5;3;3;3;27;25;3;5;1;2;13;26;4;2;28;24;-;-;2;7;425;390;340;305;105;136;52;28
São Paulo;Internacional;07.05.2023 16:00;2;0;1.94;0.83;44%;56%;6;12;4;4;1;4;1;4;11;15;4;9;2;3;20;38;4;2;16;8;-;-;3;4;384;530;319;456;85;115;33;51
América-MG;Cuiabá;07.05.2023 11:00;1;2;1.53;0.52;49%;51%;13;8;4;5;6;2;3;1;15;20;4;6;5;1;10;16;3;3;19;12;1;0;3;4;400;473;324;379;129;110;64;52
Fluminense;Vasco;06.05.2023 21:00;1;1;1.77;0.67;70%;30%;24;8;8;1;11;5;5;2;19;13;9;1;1;1;23;14;0;7;12;19;-;-;3;3;723;197;615;137;172;47;115;19
Cruzeiro;Santos;06.05.2023 16:00;2;1;1.45;1.22;53%;47%;10;8;3;3;6;5;1;0;20;17;4;4;0;5;27;25;2;1;17;14;-;-;6;3;494;423;405;330;129;93;44;53
Vasco;Bahia;01.05.2023 20:00;0;1;0.84;1.36;55%;45%;17;11;7;6;10;5;-;-;-;-;7;6;4;1;-;-;5;7;20;17;-;-;1;4;-;-;-;-;124;80;46;45
Cuiabá;Grêmio;30.04.2023 18:30;1;2;1.34;1.66;51%;49%;16;11;5;5;11;6;-;-;-;-;7;5;2;2;-;-;3;4;14;12;1;0;5;5;-;-;-;-;117;92;72;44
Internacional;Goiás;30.04.2023 18:30;1;0;0.94;0.72;58%;42%;18;16;8;3;10;13;-;-;-;-;8;11;1;4;-;-;3;7;16;10;0;1;4;2;-;-;-;-;91;96;57;48
Flamengo;Botafogo;30.04.2023 16:00;2;3;3.14;2.03;74%;26%;25;13;11;6;14;7;-;-;-;-;7;2;4;1;-;-;3;9;11;10;0;1;4;4;-;-;-;-;150;58;87;26
Atlético-MG;Athletico-PR;29.04.2023 21:00;2;1;1.97;0.49;60%;40%;18;8;7;3;11;5;-;-;-;-;1;5;1;2;-;-;2;5;12;11;0;1;3;2;-;-;-;-;127;84;48;33
Palmeiras;Corinthians;29.04.2023 18:30;2;1;1.23;0.42;54%;46%;21;10;6;3;15;7;-;-;-;-;12;3;0;1;-;-;2;4;20;14;-;-;3;3;-;-;-;-;114;104;66;39
Red Bull Bragantino;Cruzeiro;29.04.2023 18:30;0;3;1.12;2.08;45%;55%;12;19;5;5;7;14;-;-;-;-;5;9;1;4;-;-;2;5;18;7;2;0;5;3;-;-;-;-;117;104;44;55
Santos;América-MG;29.04.2023 18:30;3;2;1.52;1.41;44%;56%;11;19;6;7;5;12;-;-;-;-;2;6;0;1;-;-;5;3;15;14;1;0;3;4;-;-;-;-;95;127;39;51
Coritiba;São Paulo;29.04.2023 16:30;1;1;0.41;0.16;40%;60%;17;21;4;7;13;14;-;-;-;-;7;6;2;2;-;-;6;3;15;13;-;-;4;1;-;-;-;-;82;134;47;37
Fortaleza;Fluminense;29.04.2023 16:30;4;2;4.88;1.56;30%;70%;19;11;15;3;4;8;-;-;-;-;8;5;1;1;-;-;1;11;7;15;-;-;0;3;-;-;-;-;70;128;38;71
Bahia;Botafogo;24.04.2023 20:00;1;2;0.97;0.21;60%;40%;13;5;5;3;3;2;5;0;13;15;6;3;0;5;18;27;1;4;18;9;-;-;1;2;540;368;452;289;127;110;54;30
Goiás;Corinthians;23.04.2023 19:00;3;1;1.06;0.37;51%;49%;18;10;7;2;6;4;5;4;24;25;5;8;4;1;29;21;1;4;21;23;-;-;5;2;392;396;317;319;124;72;65;33
Coritiba;Fortaleza;23.04.2023 18:30;0;3;0.75;1.69;59%;41%;18;16;7;9;7;4;4;3;12;11;3;7;2;2;24;20;6;7;9;10;-;-;1;2;496;339;420;268;120;83;29;43
Santos;Atlético-MG;23.04.2023 16:00;0;0;0.94;1.37;37%;63%;12;15;2;5;5;6;5;4;22;11;9;6;0;1;17;29;5;2;11;21;-;-;3;3;318;553;247;466;105;130;38;65
Vasco;Palmeiras;23.04.2023 16:00;2;2;1.83;0.81;35%;65%;11;13;3;7;4;5;4;1;14;19;2;5;0;0;25;24;5;1;19;15;-;-;4;3;257;470;175;378;88;132;37;53
Internacional;Flamengo;23.04.2023 11:00;2;1;1.09;1.78;36%;64%;16;16;4;4;5;8;7;4;16;16;6;2;2;3;15;23;3;2;14;13;-;-;3;1;310;586;251;515;87;129;41;51
Cruzeiro;Grêmio;22.04.2023 21:00;1;0;1.47;0.89;49%;51%;21;11;6;7;9;2;6;2;11;22;11;5;1;3;20;20;7;5;21;8;1;0;6;2;488;511;393;405;134;109;60;44
Cuiabá;Red Bull Bragantino;22.04.2023 18:30;1;1;1.32;0.96;34%;66%;14;7;3;2;8;4;3;1;23;20;4;5;3;2;25;29;1;2;17;21;-;-;3;3;246;511;169;411;86;120;48;50
São Paulo;América-MG;22.04.2023 18:30;3;0;2.54;1.31;53%;47%;17;22;6;8;8;8;3;6;17;19;3;7;1;3;22;21;8;3;18;12;-;-;5;3;437;384;366;311;114;107;38;49
Fluminense;Athletico-PR;22.04.2023 16:00;2;0;0.81;0.73;62%;38%;14;10;4;1;6;4;4;5;21;16;10;6;3;1;23;15;1;2;13;20;-;-;3;3;559;342;491;280;129;96;62;32
Grêmio;Santos;16.04.2023 18:30;1;0;1.73;1.36;45%;55%;17;16;6;4;6;8;5;4;16;13;4;11;1;1;16;25;4;5;12;16;0;1;3;4;397;466;304;377;104;111;51;65
Corinthians;Cruzeiro;16.04.2023 16:00;2;1;1.69;0.54;41%;59%;12;8;7;2;4;3;1;3;13;15;7;4;4;2;14;30;1;5;14;12;-;-;4;2;406;576;316;491;84;139;36;41
Flamengo;Coritiba;16.04.2023 16:00;3;0;1.51;0.39;59%;41%;15;10;7;3;5;2;3;5;17;21;6;3;1;2;19;21;3;4;20;17;-;-;3;3;542;379;480;323;147;96;82;26
Atlético-MG;Vasco;15.04.2023 21:00;1;2;-;-;75%;25%;26;7;10;3;7;1;9;3;12;17;14;3;2;2;21;15;1;9;15;10;-;-;6;5;602;203;529;135;145;73;73;20
Athletico-PR;Goiás;15.04.2023 18:30;2;0;-;-;43%;57%;11;16;3;2;4;8;4;6;19;19;3;8;1;1;18;24;2;1;19;18;-;-;2;3;369;480;289;397;96;120;44;51
Botafogo;São Paulo;15.04.2023 18:30;2;1;-;-;32%;68%;12;16;3;8;5;6;4;2;14;22;3;7;2;1;19;10;7;1;20;13;-;-;3;2;293;646;229;574;85;122;57;41
Fortaleza;Internacional;15.04.2023 18:30;1;1;-;-;47%;53%;24;11;6;6;7;5;11;0;14;17;5;1;1;2;24;17;5;5;18;13;-;-;2;1;398;474;319;379;126;110;73;30
Red Bull Bragantino;Bahia;15.04.2023 18:30;2;1;-;-;56%;44%;13;9;7;3;4;5;2;1;15;22;4;7;2;3;26;36;2;5;20;13;-;-;3;1;436;343;339;248;127;87;54;39
América-MG;Fluminense;15.04.2023 16:00;0;3;1.14;3.26;46%;54%;17;15;2;8;9;3;6;4;12;25;11;1;2;3;15;13;5;2;25;9;-;-;3;2;336;442;267;364;114;56;95;22
Palmeiras;Cuiabá;15.04.2023 16:00;2;1;2.88;0.72;52%;48%;17;12;5;4;7;6;5;2;14;25;4;4;3;2;25;18;3;3;23;12;0;1;2;5;455;426;382;337;111;112;73;41
