HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Internacional;Atlético-GO;28.04.2024 20:00;1;1;2.28;0.36;70%;30%;22;4;5;2;9;0;8;2;14;13;13;0;1;5;20;13;1;4;13;12;0;0;0;4;681;276;605;195;164;78;91;17
Fortaleza;Red Bull Bragantino;28.04.2024 18:30;1;1;1.35;0.41;44%;56%;22;10;5;4;9;4;8;2;8;8;12;6;1;2;12;30;3;4;9;6;0;0;1;1;345;452;250;344;84;134;52;36
Juventude;Athletico-PR;28.04.2024 18:30;1;1;1.27;1.44;55%;45%;15;15;5;6;6;5;4;4;19;13;4;6;1;3;12;15;5;4;12;17;0;0;2;2;483;395;405;325;82;114;47;42
Corinthians;Fluminense;28.04.2024 16:00;3;0;0.88;0.38;32%;68%;17;13;7;2;4;5;6;6;15;15;6;8;1;2;16;19;2;4;15;15;0;0;4;2;281;664;223;611;79;93;23;50
Cruzeiro;Vitória;28.04.2024 16:00;3;1;1.15;0.33;54%;46%;15;8;6;3;5;5;4;0;6;12;10;4;0;0;16;26;2;3;12;6;0;0;2;0;509;431;427;365;109;94;57;26
Flamengo;Botafogo;28.04.2024 11:00;0;2;0.62;1.01;62%;38%;15;9;0;3;11;1;4;5;15;13;8;3;2;1;10;11;1;0;12;15;0;0;1;4;562;383;480;313;113;77;69;24
Bahia;Grêmio;27.04.2024 21:00;1;0;1.20;0.09;57%;43%;14;3;4;2;5;1;5;0;17;11;4;0;1;2;21;19;2;3;10;15;0;1;2;4;654;446;574;375;146;100;49;20
Cuiabá;Atlético-MG;27.04.2024 18:30;0;3;0.24;2.05;34%;66%;4;13;1;5;2;5;1;3;17;12;3;10;2;1;15;11;2;1;11;17;0;1;4;5;308;644;258;591;66;119;16;61
Vasco;Criciúma;27.04.2024 16:00;0;4;2.10;1.57;57%;43%;21;17;5;10;8;5;8;2;9;12;5;4;0;2;16;14;6;5;13;7;0;0;1;0;540;398;491;340;131;67;48;31
Atlético-GO;São Paulo;21.04.2024 18:30;0;3;0.25;1.83;37%;63%;9;20;0;8;5;5;4;7;11;10;4;3;0;2;16;11;5;0;12;9;2;0;5;0;324;616;253;548;76;124;35;63
Botafogo;Juventude;21.04.2024 18:30;5;1;2.21;0.40;54%;46%;12;12;5;1;4;6;3;5;10;22;5;4;1;1;14;20;0;0;21;9;0;1;3;4;496;409;447;350;100;88;36;37
Athletico-PR;Internacional;21.04.2024 16:00;1;0;0.40;0.28;42%;58%;12;19;3;4;8;10;1;5;16;15;5;3;0;1;19;14;4;2;14;16;1;0;5;5;323;424;256;357;67;72;31;33
Palmeiras;Flamengo;21.04.2024 16:00;0;0;0.43;0.29;47%;53%;12;9;1;3;10;4;1;2;12;25;6;5;3;0;26;14;3;1;23;13;0;0;5;4;370;365;293;285;94;87;27;30
Vitória;Bahia;21.04.2024 16:00;2;2;1.55;1.86;47%;53%;13;18;8;6;4;9;1;3;14;17;2;7;6;2;13;17;4;6;11;13;0;0;3;3;371;480;306;411;77;105;22;43
Atlético-MG;Cruzeiro;20.04.2024 21:00;3;0;1.12;0.41;55%;45%;8;9;4;3;1;3;3;3;15;13;4;4;1;2;16;19;3;1;15;16;0;0;2;2;589;463;521;394;90;105;39;42
Grêmio;Cuiabá;20.04.2024 18:30;1;0;0.30;1.53;60%;40%;6;9;4;3;2;5;0;1;5;10;3;4;0;0;20;13;3;3;10;5;0;0;4;2;546;369;474;307;125;88;71;40
Red Bull Bragantino;Corinthians;20.04.2024 18:30;1;0;0.41;0.99;42%;58%;9;13;3;3;5;6;1;4;16;20;3;4;0;4;16;24;3;2;20;10;0;0;4;2;273;478;181;394;98;103;24;47
Fluminense;Vasco;20.04.2024 16:00;2;1;1.16;1.80;55%;45%;10;20;7;5;2;10;1;5;21;16;2;7;1;4;15;19;4;5;16;17;0;0;4;5;561;420;486;342;123;79;48;40
Botafogo;Atlético-GO;18.04.2024 21:30;1;0;0.71;1.00;52%;48%;13;11;5;3;8;5;0;3;14;14;8;8;1;2;11;23;3;4;13;11;0;0;3;4;478;435;402;361;90;99;48;53
Flamengo;São Paulo;17.04.2024 21:30;2;1;0.95;0.66;48%;52%;11;10;6;2;4;4;1;4;21;21;9;1;1;2;20;18;2;4;19;19;0;0;1;3;439;485;356;417;89;100;38;24
Atlético-MG;Criciúma;17.04.2024 20:00;1;1;0.58;0.21;62%;38%;20;5;6;2;10;1;4;2;9;11;9;2;2;0;19;11;1;5;12;10;0;0;2;4;738;350;657;291;139;88;70;33
Fortaleza;Cruzeiro;17.04.2024 20:00;1;1;0.59;0.77;42%;58%;15;13;4;5;6;6;5;2;10;9;7;5;0;2;10;8;4;3;13;10;0;1;2;3;296;469;225;403;87;97;38;45
Juventude;Corinthians;17.04.2024 20:00;2;0;1.76;1.04;43%;57%;16;16;8;2;6;10;2;4;12;17;6;7;1;2;19;33;2;6;15;10;1;0;3;1;385;532;312;436;81;127;27;45
Palmeiras;Internacional;17.04.2024 20:00;0;1;1.57;1.06;62%;38%;16;5;3;2;11;2;2;1;22;19;6;2;4;1;28;14;1;3;16;21;0;0;2;4;520;264;437;195;77;72;37;26
