HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Juventude;São Paulo;23.10.2022 16:00;1;2;-;-;41%;59%;13;13;3;5;8;4;2;4;11;8;5;6;2;1;14;10;3;2;6;10;-;-;2;2;406;597;361;538;86;122;36;79
Palmeiras;Avaí;22.10.2022 21:00;3;0;-;-;50%;50%;22;10;9;2;11;7;2;1;10;20;9;7;3;0;14;16;2;6;12;7;-;-;2;2;383;400;331;342;96;97;68;28
América-MG;Flamengo;22.10.2022 19:00;1;2;-;-;46%;54%;9;15;3;6;6;5;0;4;21;22;4;11;1;3;22;19;4;2;17;10;-;-;1;1;342;411;255;312;56;40;23;21
Santos;Corinthians;22.10.2022 19:00;0;1;-;-;52%;48%;12;8;3;2;4;2;5;4;18;20;7;4;1;0;24;19;1;3;15;11;1;1;3;5;487;453;410;376;49;41;27;19
Red Bull Bragantino;Athletico-PR;22.10.2022 16:30;4;2;-;-;48%;52%;11;9;6;4;3;3;2;2;13;17;4;4;1;0;18;30;2;2;16;13;-;-;0;3;377;411;296;322;99;106;48;27
São Paulo;Coritiba;20.10.2022 20:00;3;1;-;-;61%;39%;20;13;8;4;8;6;4;3;14;16;5;3;6;2;13;20;3;5;11;12;-;-;2;6;554;345;485;279;96;73;63;48
Red Bull Bragantino;Santos;17.10.2022 20:00;0;2;-;-;56%;44%;19;9;3;3;9;4;7;2;19;27;15;2;1;1;29;23;1;3;21;11;1;0;3;4;398;335;328;255;117;74;66;21
Athletico-PR;Coritiba;16.10.2022 19:00;1;0;-;-;53%;47%;15;15;7;3;3;6;5;6;11;23;10;4;3;0;28;25;3;6;21;11;-;-;4;2;387;341;310;267;117;91;49;40
Avaí;Fluminense;16.10.2022 19:00;0;3;-;-;42%;58%;15;17;3;7;11;8;1;2;15;12;9;5;2;1;9;27;4;3;12;15;-;-;2;0;409;564;340;478;109;100;46;49
Botafogo;Internacional;16.10.2022 18:00;0;1;-;-;50%;50%;12;11;3;1;4;3;5;7;16;16;3;4;1;3;16;22;0;3;15;13;-;-;3;5;486;475;408;375;129;114;51;59
Juventude;Atlético-GO;16.10.2022 18:00;1;1;-;-;50%;50%;19;8;6;3;6;4;7;1;19;10;7;4;0;1;17;17;2;5;10;19;-;-;2;1;467;472;413;390;118;98;69;45
Ceará;Cuiabá;16.10.2022 16:00;1;1;-;-;66%;34%;22;11;4;2;15;7;3;2;20;14;10;7;3;1;14;15;1;3;11;20;0;1;4;6;380;209;297;113;125;72;76;17
Palmeiras;São Paulo;16.10.2022 16:00;0;0;-;-;56%;44%;19;5;8;1;6;3;5;1;13;10;15;3;2;0;22;13;1;8;9;14;0;2;3;3;358;304;307;231;127;71;61;29
América-MG;Fortaleza;15.10.2022 20:30;1;2;-;-;67%;33%;19;9;7;4;5;3;7;2;24;10;4;8;1;1;30;14;2;6;10;24;0;1;1;4;457;233;375;151;144;71;59;24
Flamengo;Atlético-MG;15.10.2022 20:30;1;0;-;-;38%;62%;7;13;4;3;2;9;1;1;13;12;0;10;0;1;22;22;3;3;12;12;-;-;4;0;348;561;274;474;102;120;30;50
Santos;Juventude;10.10.2022 20:00;4;1;-;-;50%;50%;19;16;8;3;8;10;3;3;11;13;3;8;0;1;17;17;2;4;13;10;-;-;2;0;435;434;371;364;110;84;58;23
Atlético-GO;Palmeiras;10.10.2022 18:30;1;1;-;-;44%;56%;10;17;2;6;5;6;3;5;11;16;4;9;1;1;19;18;5;1;15;8;-;-;4;2;350;451;271;381;42;45;28;30
Atlético-MG;Ceará;09.10.2022 18:00;0;0;-;-;63%;37%;16;5;2;2;6;2;8;1;19;15;16;0;3;1;24;18;2;2;12;18;-;-;3;5;566;329;483;252;143;79;70;23
Coritiba;Red Bull Bragantino;09.10.2022 18:00;2;1;-;-;34%;66%;6;17;2;4;0;9;4;4;14;8;5;8;2;2;18;23;3;0;7;12;1;0;0;3;267;485;178;418;73;140;35;90
Fluminense;América-MG;09.10.2022 18:00;0;2;-;-;62%;38%;22;18;10;8;4;7;8;3;23;12;8;7;4;4;20;18;6;10;8;18;-;-;1;3;515;304;442;226;113;80;60;52
Fortaleza;Avaí;09.10.2022 16:00;2;0;-;-;35%;65%;16;10;5;2;8;5;3;3;11;15;3;6;1;0;12;22;2;3;16;11;-;-;1;1;326;626;265;543;103;119;32;28
São Paulo;Botafogo;09.10.2022 16:00;0;1;-;-;67%;33%;8;7;2;1;3;4;3;2;11;19;10;4;4;3;30;22;0;2;16;8;1;0;3;2;501;248;407;166;129;66;64;24
Internacional;Goiás;09.10.2022 11:00;4;2;-;-;61%;39%;20;16;11;8;5;6;4;2;24;14;6;6;0;0;17;14;6;7;15;23;-;-;1;7;463;289;398;227;114;84;52;34
Corinthians;Athletico-PR;08.10.2022 21:00;2;1;-;-;51%;49%;7;19;3;4;1;8;3;7;21;19;5;6;4;0;23;29;3;1;10;16;-;-;1;0;411;387;323;293;105;122;33;34
Cuiabá;Flamengo;08.10.2022 19:00;1;2;-;-;45%;55%;21;17;5;5;6;9;10;3;19;15;7;6;1;2;14;8;3;4;14;11;-;-;2;2;324;404;263;352;92;82;44;53
América-MG;São Paulo;06.10.2022 20:00;1;2;-;-;33%;67%;15;25;5;5;8;14;2;6;14;13;3;3;0;1;19;29;3;4;13;13;-;-;2;4;276;561;183;477;55;65;9;30
Avaí;Botafogo;06.10.2022 20:00;1;2;-;-;56%;44%;12;19;3;8;5;7;4;4;20;20;3;5;2;1;20;18;6;2;17;20;-;-;2;4;441;349;359;277;108;89;13;17
Palmeiras;Coritiba;06.10.2022 19:00;4;0;-;-;56%;44%;19;11;11;3;6;3;2;5;13;20;9;6;4;0;16;16;3;7;16;13;-;-;1;2;501;396;448;331;121;81;69;23
Flamengo;Internacional;05.10.2022 21:30;0;0;-;-;67%;33%;27;21;7;7;12;10;8;4;10;13;11;3;0;2;15;11;7;7;13;8;-;-;3;2;659;338;587;270;163;68;99;24
Santos;Atlético-MG;05.10.2022 21:30;1;2;-;-;44%;56%;12;18;6;2;5;10;1;6;18;20;5;4;4;1;20;17;1;5;18;18;1;0;2;4;350;459;274;372;92;100;23;38
Athletico-PR;Fortaleza;05.10.2022 19:30;1;1;-;-;64%;36%;28;11;5;1;17;9;6;1;10;12;13;4;1;0;33;22;0;4;11;10;-;-;2;1;485;300;393;201;93;38;32;21
Atlético-GO;Fluminense;05.10.2022 19:00;3;2;-;-;40%;60%;29;13;10;5;12;4;7;4;13;20;12;5;4;1;15;15;3;7;16;13;-;-;4;0;304;482;234;416;86;82;50;30
Ceará;Goiás;05.10.2022 19:00;1;1;-;-;52%;48%;14;17;6;5;5;8;3;4;23;20;7;3;1;0;18;13;4;5;19;24;1;0;5;4;340;315;278;254;89;84;44;32
Red Bull Bragantino;Cuiabá;05.10.2022 19:00;2;1;-;-;46%;54%;14;13;5;4;7;6;2;3;10;14;2;7;1;0;17;27;3;3;14;10;-;-;2;3;412;461;337;379;109;104;58;70
Juventude;Corinthians;04.10.2022 21:30;2;2;-;-;34%;66%;17;12;2;6;8;5;7;1;8;8;2;5;1;1;10;18;4;0;9;7;-;-;1;2;325;650;254;569;71;133;45;69
Botafogo;Palmeiras;03.10.2022 20:00;1;3;-;-;49%;51%;10;12;2;5;7;5;1;2;30;24;2;6;1;6;18;24;2;1;16;14;0;1;4;3;400;422;310;341;99;101;28;53
Corinthians;Cuiabá;01.10.2022 21:00;2;0;-;-;60%;40%;15;9;6;4;2;3;7;2;7;12;7;4;1;2;23;13;4;4;11;6;-;-;1;0;653;422;563;344;107;114;42;38
Athletico-PR;Juventude;01.10.2022 19:00;2;0;-;-;51%;49%;17;6;6;1;7;2;4;3;13;15;11;4;0;0;27;18;1;4;12;11;-;-;2;5;336;333;282;271;83;57;55;31
Avaí;Atlético-GO;01.10.2022 19:00;1;2;-;-;59%;41%;20;9;3;3;9;5;8;1;13;9;11;3;2;0;28;18;1;2;7;13;-;-;2;4;420;313;345;243;123;71;79;43
